allele_name,dataset_size,auc_mean,auc_median,auc_std,auc_min,auc_max,accuracy_mean,accuracy_median,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_median,f1_std,f1_min,f1_max,config_idx,embedding_size,hidden_layer_size,activation,loss,init,n_pretrain_epochs,n_epochs,dropout_probability,max_ic50
B3501,1993,0.925596199737172,0.9267911818738518,0.004676687714811389,0.9190115440115441,0.9322222222222222,0.8795758239820657,0.8771929824561403,0.009013616936059173,0.8668341708542714,0.8922305764411027,0.7513841301923169,0.7724867724867724,0.03246464407580972,0.7005649717514124,0.7802690582959642,0,0,64,relu,mse,uniform,0,200,0,5000
B3801,136,0.9358974358974358,1.0,0.09065471553673685,0.8076923076923077,1.0,0.9634038800705467,0.9629629629629629,0.0006235509534273233,0.9629629629629629,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0,0,64,relu,mse,uniform,0,200,0,5000
B3901,879,0.9375795301014339,0.939206406989443,0.014145081615214385,0.9133445629795995,0.953319258737978,0.8896363636363637,0.8920454545454546,0.018602297023363915,0.8636363636363636,0.9204545454545454,0.704889139925913,0.6885245901639345,0.04115461444007503,0.6666666666666666,0.7812499999999999,0,0,64,relu,mse,uniform,0,200,0,5000
B4001,2326,0.9709535053057028,0.9706982543640899,0.011532422882209558,0.9504370550599262,0.9844868735083533,0.9505533250265354,0.9440860215053763,0.012702337014357286,0.9354838709677419,0.967741935483871,0.7934636826840104,0.8029197080291971,0.044037726590339804,0.7115384615384615,0.8349514563106797,0,0,64,relu,mse,uniform,0,200,0,5000
B4002,474,0.8837870938834745,0.9117063492063492,0.053624941284471046,0.7974358974358974,0.9335288367546432,0.814468085106383,0.8315789473684211,0.05321430052511431,0.7368421052631579,0.8723404255319149,0.7305810721688336,0.75,0.05842338876234162,0.65625,0.793103448275862,0,0,64,relu,mse,uniform,0,200,0,5000
B4402,1295,0.9337224426007138,0.9423918327661643,0.02035799325902293,0.9047531319086219,0.960133744855967,0.9289575289575289,0.9266409266409267,0.011862773355781642,0.9111969111969112,0.9420849420849421,0.44424116945856074,0.4444444444444444,0.07115335488036786,0.3428571428571428,0.5652173913043479,0,0,64,relu,mse,uniform,0,200,0,5000
B4403,502,0.8924230677092979,0.8989290495314591,0.032310169389600706,0.8521288837744534,0.9349005424954793,0.8426534653465346,0.84,0.034027005081208477,0.801980198019802,0.89,0.5729870129870129,0.6,0.08423561679715762,0.42424242424242425,0.6666666666666667,0,0,64,relu,mse,uniform,0,200,0,5000
B4501,483,0.9392005533452903,0.9409722222222222,0.011624868079618999,0.9188311688311688,0.9545454545454546,0.892332474226804,0.8865979381443299,0.03871819281409125,0.8333333333333334,0.9479166666666666,0.7283243072716757,0.717948717948718,0.08249668363351956,0.619047619047619,0.8484848484848485,0,0,64,relu,mse,uniform,0,200,0,5000
B4601,1406,0.9582324711350438,0.9603369603369603,0.013273512118743504,0.93859375,0.9761462205700123,0.938840513868908,0.9395017793594306,0.013911528712779226,0.9181494661921709,0.9537366548042705,0.39988209079373177,0.43478260869565216,0.14882958423446066,0.16666666666666666,0.5806451612903226,0,0,64,relu,mse,uniform,0,200,0,5000
B4801,861,0.9757052970055167,0.9863667348329925,0.023443709857460002,0.9292763157894737,0.9909584086799277,0.962817583008469,0.9767441860465116,0.027920467952335434,0.9069767441860465,0.976878612716763,0.745897435897436,0.8000000000000002,0.1273623581860384,0.5,0.846153846153846,0,0,64,relu,mse,uniform,0,200,0,5000
B5101,1336,0.9071282382333102,0.9134787806335923,0.023224868812681706,0.8774603174603174,0.9436475409836065,0.8906814243389792,0.8876404494382022,0.0331784885903894,0.8389513108614233,0.9402985074626866,0.543949854166198,0.5428571428571429,0.09321949039321395,0.410958904109589,0.68,0,0,64,relu,mse,uniform,0,200,0,5000
B5301,620,0.9054223860630157,0.9056818181818181,0.02250656683008757,0.8776009791921665,0.9326364692218352,0.8403225806451614,0.8387096774193549,0.01644845004384768,0.8225806451612904,0.8629032258064516,0.7725931901635696,0.7727272727272727,0.03513273751429664,0.725,0.8210526315789474,0,0,64,relu,mse,uniform,0,200,0,5000
B5401,621,0.9211523517457006,0.9182894234440625,0.03521912962111517,0.8695035460992908,0.9780505952380952,0.8711354838709677,0.8709677419354839,0.04276971902835964,0.7983870967741935,0.9274193548387096,0.7072541819665442,0.7017543859649122,0.08973224027955583,0.5614035087719299,0.8421052631578947,0,0,64,relu,mse,uniform,0,200,0,5000
B5701,1719,0.9672584787018454,0.9720891130727196,0.011539409146270236,0.9444679054054055,0.9751644736842104,0.9406586887246593,0.936046511627907,0.008176027537260764,0.9329446064139941,0.9505813953488372,0.7420608369717071,0.738095238095238,0.02486574962544043,0.7088607594936709,0.7733333333333334,0,0,64,relu,mse,uniform,0,200,0,5000
B5801,2444,0.9650469949338418,0.9657477025898079,0.0060713720254863286,0.9553969669937556,0.9738758303525803,0.9284052432196855,0.9284253578732107,0.014312590161076775,0.9079754601226994,0.9508196721311475,0.7662562070646107,0.7682119205298014,0.038184291525476845,0.7272727272727272,0.8333333333333333,0,0,64,relu,mse,uniform,0,200,0,5000
B5802,31,0.40555555555555556,0.5,0.34498165991688945,0.0,0.7777777777777778,0.680952380952381,0.6666666666666666,0.135191138729318,0.5,0.8333333333333334,0.32,0.0,0.3919183588453085,0.0,0.8,0,0,64,relu,mse,uniform,0,200,0,5000
B7301,115,0.790972417675204,0.7852941176470587,0.08079067010403261,0.6842105263157895,0.9090909090909091,0.8260869565217391,0.8260869565217391,0.03074377309506726,0.782608695652174,0.8695652173913043,0.07142857142857142,0.0,0.12371791482634838,0.0,0.2857142857142857,0,0,64,relu,mse,uniform,0,200,0,5000
